variance,skewness,curtosis,entropy,class
-1.9983,-6.6072,4.8254,-0.41984,1.0
1.9476,-4.7738,8.527,-1.8668,0.0
-1.6637,3.2881,-2.2701,-2.2224,1.0
-1.3887,-4.8773,6.4774,0.34179,1.0
4.1529,-3.9358,2.8633,-0.017686,0.0
2.9543,1.076,0.64577,0.89394,0.0
-0.071503,3.7412,-4.5415,-4.2526,1.0
0.88872,5.3449,2.045,-0.19355,0.0
2.7659,0.66216,4.1494,-0.28406,0.0
-1.5621,-2.2121,4.2591,0.27972,1.0
2.4226,-4.5752,5.947,0.21507,0.0
-2.7723,3.2777,-0.9351,-3.1457,1.0
2.8232,10.8513,-3.1466,-3.9784,0.0
-3.9934,5.8333,0.54723,-4.9379,1.0
-0.82053,0.65181,-0.48869,-0.52716,1.0
2.5328,7.528,-0.41929,-2.6478,0.0
3.4893,6.69,-1.2042,-0.38751,0.0
-1.749,-6.332,6.0987,0.14266,1.0
0.72252,-0.053811,5.6703,-1.3509,0.0
2.805,0.57732,1.3424,1.2133,0.0
-1.9667,11.8052,-0.40472,-7.8719,0.0
4.616,10.1788,-4.2185,-4.4245,0.0
4.0127,10.1477,-3.9366,-4.0728,0.0
2.5227,2.2369,2.7236,0.79438,0.0
-2.5961,-9.349,9.7942,-0.28018,1.0
0.74841,7.2756,1.1504,-0.5388,0.0
3.5829,1.4423,1.0219,1.4008,0.0
-6.5084,8.7696,0.23191,-3.937,1.0
0.3292,-4.4552,4.5718,-0.9888,0.0
-0.91718,9.9884,1.1804,-5.2263,0.0
-0.13144,-1.7775,8.3316,0.35214,0.0
0.89606,10.5471,-1.4175,-4.0327,0.0
-1.9966,-9.5001,9.682,-0.12889,1.0
-0.53072,-0.097265,-0.21793,1.0426,1.0
2.5068,1.1588,3.9249,0.12585,0.0
-2.0441,1.2271,0.18564,-1.091,1.0
4.0552,0.40143,1.4563,0.65343,0.0
-2.7028,1.6327,0.83598,-0.091393,1.0
-1.5322,-5.0966,6.6779,0.17498,1.0
1.0194,1.1029,-2.3,0.59395,1.0
4.1197,-2.7956,2.0707,0.67412,0.0
-1.8215,2.7521,-0.72261,-2.353,1.0
0.6818,4.8504,-5.2133,-6.1043,1.0
2.6463,-4.8152,6.3549,0.003003,0.0
-2.1241,-6.8969,5.5992,-0.47156,1.0
-0.47465,-4.3496,1.9901,0.7517,1.0
4.3398,-5.3036,3.8803,-0.70432,0.0
-1.9409,-8.6848,9.155,0.94049,1.0
-0.7056,8.7241,2.2215,-4.5965,0.0
2.5678,3.5136,0.61406,-0.40691,0.0
1.7747,-6.4334,8.15,-0.89828,0.0
